Blog	four	looking	second	here	k	reports	music	until	successful	example	want	wrong	wasn	service	project	tech	came	saying	rich	tips	best	country	asked	much	life	child	things	had	possible	right	old	o	support	happy	inside	team	along	love	fake	working	such	years	didn	investigation	internet	million	quite	open	city	future	russia	say	saw	note	take	knew	ways	going	between	roger	where	many	wants	photos	former	technology	summer	being	around	world	power	her	ad	certain	am	having	original	tv	th	case	large	small	past	full	hours	social	via	company	learn	states	its	always	found	really	research	director	major	number	obama	self	also	play	sometimes	cover	set	see	community	budget	rules	recent	person	amp	couple	d	continue	anything	link	line	posted	us	age	results	young	try	video	let	great	involved	makes	tools	next	process	high	doing	could	start	system	face	fact	bring	manchester	trying	should	hope	means	stuff	email	co	ve	off	less	web	government	five	become	places	details	monday	announced	told	word	work	order	office	then	them	network	created	another	john	away	com	speak	easy	information	photo	thanks	night	security	asking	post	months	available	way	war	update	together	guy	change	usually	live	https	car	heard	write	product	remember	still	half	down	james	year	space	shows	care	yourself	directly	than	online	price	america	only	concert	article	comes	these	media	thinking	real	read	early	using	business	aren	lot	building	since	month	very	family	put	takes	taken	site	history	tried	help	actually	event	reason	ask	american	mobile	clear	pretty	during	x	close	won	probably	both	else	lives	look	while	used	game	run	step	seeing	within	computer	russian	doesn	go	does	facebook	michael	camera	started	control	links	including	him	hands	times	data	attack	need	able	talk	based	course	she	state	key	police	problem	tuesday	party	well	lost	page	twitter	home	mdash	piece	education	stay	friends	companies	likely	even	ever	never	call	tell	room	give	point	quot	answer	president	before	personal	better	went	side	content	isn	features	mind	seen	seem	don	m	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	save	deal	dead	track	billion	daily	show	finally	did	sharing	making	may	man	maybe	nearly	nbsp	group	interesting	living	thing	think	long	little	were	especially	behind	black	morning	enough	reading	across	according	among	mark	those	different	pay	running	money	critical	videos	youtube	again	important	u	children	public	search	two	hour	share	coming	playing	through	same	good	everyone	house	hard	idea	done	least	statement	part	believe	b	build	services	find	please	simple	simply	create	meeting	understand	fun	itself	spent	spend	source	big	bit	google	often	back	giving	others	named	ago	private	account	ll	day	text	national	taking	almost	administration	thought	latest	ads	buy	minutes	special	under	every	school	would	phone	must	me	mr	keep	end	writing	each	got	free	wanted	days	already	top	too	took	though	watch	amazon	report	news	quickly	several	donald	election	everything	efforts	check	no	level	quick	says	goes	water	today	thousands	trump	needs	happened	name	turn	place	white	r	any	ideas	sure	later	federal	come	myself	someone	week	without	seems	blog	program	woman	worse	far	list	design	version	known	rather	short	might	health	feel	story	store	kind	added	nothing	his	wrote	art	intelligence	recently	c	became	questions	customers	question	called	users	once	issues	include	businesses	apple	app	use	few	women	something	united	six	instead	looks	york	conversation	which	who	why	ones	words	view	stories	job	april	perhaps	gets	percent	know	press	because	getting	own	made	whether	book
Instapundit	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	8	4	0	2	0	0	0	0	0	0	4	5	4	2	0	0	0	0	0	2	0	1	1	0	0	2	6	2	0	0	0	0	0	0	0	5	0	0	3	1	8	0	0	2	1	0	0	9	0	3	1	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	3	0	0	1	4	2	0	1	1	2	0	2	0	0	0	1	0	0	9	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0	0	0	0	1	0	0	0	3	0	2	0	1	2	1	0	0	0	18	0	1	1	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	2	2	2	0	4	4	0	0	0	0	3	2	0	0	0	0	2	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	3	0	0	0	2	3	0	2	0	0	0	0	1	0	0	3	2	0	4	0	2	0	0	1	0	0	0	0	0	0	2	0	2	0	0	1	0	1	2	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	3	0	2	2	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	2	4	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2	5	0	0	0	1	3	0	1	0	0	0	0	0	2	10	0	2	2	0	2	0	0	2	0	0	6	2	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	1	0	0	1	2	2	1	0	1	1	0	0	0	0	0	4	0	4	0	0	0	2	0	1	0	2	0	4	0	1	0	2	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	2	4	0	0	0	5	0	2	1	1	0	0	0	1	0	1	3	0	0	0	0	0	2	2	3	0	4	0	1	0	3	2	1	0	1	0	0	1	2	0	0	0	0	6	0	0	0	11	0	8	0	0	1	3	0	0	0	5	0	0	4	0	0	15	0	17	0	0	4	1	0	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	3	0	0	0	0	2	0	2	0	2	3	0	0	0	0	0	0	2	0	3	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	3	7	8	0	0	0	0	0	3	0	0	3	0	0	3	0	2	0	0	0
BuzzMachine	0	2	0	5	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	6	1	2	4	2	0	0	1	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	1	0	6	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	3	0	2	1	1	0	0	0	0	0	2	2	0	0	4	4	15	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	1	0	0	0	0	2	1	3	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	4	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	15	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	5	1	0	0	0	0	0
Techdirt.	3	7	9	25	1	2	3	3	3	2	7	2	6	5	0	5	2	3	1	0	8	4	6	27	0	1	13	24	4	11	5	14	7	2	3	8	0	4	1	6	14	21	5	3	40	3	4	9	0	8	2	10	3	3	12	4	6	11	6	3	13	10	8	1	6	8	0	22	4	12	8	9	2	5	3	5	2	2	3	25	6	2	5	8	3	2	1	19	3	9	39	5	2	11	2	1	3	3	0	2	26	2	2	0	4	13	2	0	14	5	5	0	6	5	5	3	0	5	6	15	2	2	2	1	4	4	7	6	7	4	4	4	8	7	13	9	8	2	9	2	0	7	20	0	3	5	26	4	14	8	13	1	25	3	3	2	1	0	1	7	2	5	3	2	14	20	3	4	9	6	1	4	0	1	6	1	4	4	21	2	13	7	3	20	5	2	1	3	3	3	0	4	0	3	2	4	1	16	2	21	1	9	2	2	0	0	4	31	17	2	2	32	0	5	3	36	6	1	9	1	1	16	10	7	6	1	6	3	15	1	11	6	5	12	4	4	4	11	2	16	4	2	10	9	4	4	0	0	5	13	11	8	3	5	17	19	2	10	0	2	2	2	6	13	9	5	15	3	2	2	3	0	5	9	7	9	10	2	10	5	3	2	22	12	6	1	30	7	1	4	14	1	4	4	1	11	0	2	1	2	26	8	35	6	5	1	1	9	6	9	2	3	1	17	6	4	4	4	8	10	2	3	3	4	17	4	5	11	1	23	19	2	3	4	24	2	1	5	5	0	7	3	4	6	2	5	5	11	0	7	22	2	3	2	1	0	3	0	11	12	10	7	30	6	1	3	4	8	0	2	10	1	0	21	3	9	4	2	3	2	0	13	5	0	4	29	9	12	1	0	2	2	5	19	11	9	1	6	7	5	11	6	13	8	1	2	6	14	1	1	5	5	2	2	0	8	7	0	2	4	7	9	5	6	6	5	3	8	6	4	7	6	4	8	5	3	0	2	5	1	0	2	0	7	11	0	37	3	4	7	1	4	5	4	4	6	7	3	0	10	6	6	6	8	1	0	7	6	2	10	0	1	3	3	4	42	4	2	4	3	0	2	4	1	4	7	10	1	13	2	0	24	2	7	2	13	5	0	11	14	10	7	3	8	2	5	10	2	0	4	5	13	2	9	0	2	34	2	14	3	6	27	4	0	2	6	2	3	4	5	6	11	7	7	7	3	5	6	13	26	18	3	8	2	1	2	0	3	1	25	49	15	2	7	1	4	3	2	2	7	0	10	8	28	8	14	14	6	0
Joi Ito's Web	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	5	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	1	0	0	1	0	0	0	0	0	0	3	0	1	4	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	3	3	0	1	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	9
Power LinePower Line	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	3	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
ongoing by Tim Bray	1	1	0	4	0	0	1	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	1	0	3	0	0	0	0	2	0	0	3	0	0	5	0	0	0	0	1	0	1	0	0	0	0	2	3	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	1	1	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	6	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	1	0	0	0	4	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	5	0	0	0	0	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	2	0	0	1	0	3	3	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1
ABC News: Investigative Unit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
The Viral Garden	5	10	3	26	1	0	6	0	2	4	34	4	8	5	4	0	1	4	0	2	8	0	1	8	2	0	6	36	1	7	1	6	2	1	0	5	4	4	0	1	8	6	14	0	0	0	1	2	0	1	0	7	2	0	7	3	6	11	2	0	15	23	3	0	0	0	2	18	7	4	5	5	11	1	26	3	1	1	9	8	3	5	1	3	4	134	9	13	8	0	12	6	12	9	1	0	0	5	0	4	10	2	8	4	0	24	10	0	10	5	5	3	6	6	1	1	20	2	0	16	7	5	0	4	0	10	13	0	3	7	10	1	1	14	8	7	0	0	3	2	0	7	17	2	7	3	3	2	20	6	5	1	0	0	11	0	0	0	0	3	1	17	1	0	22	50	6	7	8	1	3	22	13	2	6	0	2	3	0	2	41	5	0	28	0	2	4	0	3	5	3	0	0	1	9	2	3	14	2	2	0	18	6	2	1	4	1	9	8	2	2	16	1	2	2	26	122	4	2	9	2	31	13	11	14	4	3	1	25	0	4	1	0	11	1	1	11	10	28	10	3	0	0	0	3	8	0	5	11	11	6	8	0	1	8	1	1	0	0	4	2	0	0	3	15	5	10	0	0	14	0	8	1	3	0	1	0	0	8	2	2	0	3	1	1	5	0	5	0	0	14	0	8	71	1	0	0	0	3	11	29	7	18	3	10	1	11	1	10	6	0	2	0	9	6	10	7	1	15	7	0	0	4	2	14	16	2	3	6	13	0	0	3	3	20	9	1	1	1	1	1	1	1	0	0	5	1	11	1	4	12	1	4	0	0	5	4	0	13	30	8	3	33	1	1	1	0	5	8	0	2	3	2	10	4	3	0	3	1	0	0	3	5	0	0	0	3	8	4	8	12	0	4	16	16	9	0	1	15	3	6	0	7	1	2	6	2	9	3	2	6	11	0	13	2	7	0	2	0	13	8	0	9	19	4	11	2	5	0	0	17	21	0	0	4	3	0	11	1	1	2	1	1	1	13	1	30	0	3	56	0	3	5	5	3	9	6	13	8	2	4	6	8	5	0	0	0	1	1	10	0	0	0	17	7	19	5	2	0	3	0	4	0	0	6	4	10	2	3	0	0	8	6	11	4	0	7	3	14	7	2	3	46	0	0	0	1	12	0	0	1	1	1	7	0	2	2	1	0	1	2	8	6	0	0	6	0	2	6	19	0	4	10	3	2	3	6	1	0	20	22	0	10	0	0	5	1	2	5	21	15	24	4	1	5	3	1	12	0	1	0	18	0	40	7	25	7	1	0
SpikedHumor - Today's Videos and Pictures	0	0	6	102	0	1	2	1	0	0	1	0	0	0	2	0	0	1	1	0	6	0	0	0	2	0	1	5	0	0	2	4	1	1	0	1	0	1	1	0	1	2	0	0	0	1	1	0	2	2	0	1	1	0	1	0	0	0	2	3	0	2	0	2	0	0	0	1	4	1	0	0	1	0	2	1	0	2	1	0	0	0	0	2	0	0	0	0	0	0	7	0	2	1	0	0	2	0	3	0	3	3	0	0	4	4	0	0	0	0	1	0	1	1	0	0	0	0	5	2	0	1	0	0	15	2	1	0	1	0	0	0	0	0	1	0	1	4	1	0	0	0	1	1	1	0	0	0	2	3	0	0	3	0	0	1	0	0	0	0	1	2	1	0	2	3	1	0	3	0	1	6	1	0	0	0	0	1	2	0	3	0	0	2	0	0	1	2	1	0	2	0	4	1	0	0	0	2	1	3	0	0	3	0	0	0	0	1	0	0	4	0	0	1	0	1	0	0	4	0	1	4	0	0	0	0	1	0	0	2	3	4	0	1	1	0	0	1	0	2	0	3	0	0	0	0	1	0	0	2	0	1	0	5	3	0	1	0	0	0	0	3	0	1	2	2	0	0	1	1	0	0	0	1	0	1	0	1	1	1	2	0	0	3	0	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	3	1	1	1	0	0	0	0	0	0	2	1	0	2	2	0	0	0	0	0	0	3	1	0	0	0	3	0	0	0	3	2	2	2	0	0	0	3	3	2	0	0	5	0	2	0	3	1	4	2	0	0	1	2	0	0	2	2	1	0	0	0	2	1	0	0	1	1	0	0	2	0	0	1	1	0	4	5	1	0	3	1	1	1	0	1	1	1	0	0	0	2	2	2	0	0	1	0	2	7	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	1	0	2	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	1	3	0	2	2	2	5	3	2	3	0	0	1	1	0	5	0	2	2	0	0	102	0	1	2	0	1	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	2	2	0	0	1	0	2	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	2	0	3	0	1	0	0	0	9	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	5	3	0	1	1	2	0	0	0	1	0	0	0	3	4	0	1	1	1	0	0	0	2	1	4	0	3	0	0	0	0	0
The Official Google Blog	1	8	2	10	2	2	4	1	5	6	2	0	2	4	2	4	0	2	3	0	15	1	1	5	3	0	12	4	9	11	0	33	23	0	2	10	3	0	0	7	10	12	2	0	3	10	0	8	4	5	6	3	3	0	16	1	8	8	9	0	15	15	0	21	0	25	19	0	24	25	6	6	1	3	1	1	1	11	2	2	5	0	4	3	2	6	6	6	23	2	6	5	7	3	10	1	3	12	0	0	46	36	1	0	3	20	4	0	0	1	2	14	0	5	2	2	2	1	1	19	2	1	2	4	7	7	10	0	8	18	13	3	12	2	5	5	1	0	0	8	0	4	5	5	3	2	2	2	29	5	1	23	0	5	9	8	3	0	9	0	0	21	5	2	4	30	5	3	2	0	2	3	2	12	17	3	5	0	14	3	1	6	31	13	2	4	12	0	2	0	7	0	4	1	5	7	2	7	3	5	0	30	6	2	1	0	4	22	16	0	0	9	2	0	1	18	1	3	5	4	8	26	16	1	4	4	8	5	1	15	1	2	1	2	3	2	38	2	3	0	3	0	28	0	0	10	1	3	1	0	8	0	6	11	10	8	7	7	2	6	3	4	2	1	14	2	1	0	4	6	4	0	14	0	4	6	28	0	22	16	2	13	2	1	1	4	0	0	0	3	11	2	3	0	11	0	3	5	4	4	8	1	19	3	4	3	3	3	9	3	0	3	2	11	4	14	4	2	7	4	16	4	7	0	10	1	1	0	1	3	1	0	6	2	34	5	2	0	1	4	0	0	3	11	2	2	5	4	4	17	4	0	2	2	0	4	0	3	3	5	3	1	9	3	2	0	2	1	0	17	0	3	0	3	5	39	7	1	2	8	18	1	7	12	1	0	23	12	1	16	15	1	16	3	3	8	2	4	1	4	1	0	12	3	3	18	9	22	1	4	3	12	2	14	14	0	0	2	1	4	0	170	4	8	4	1	1	3	0	5	27	12	3	2	2	4	0	1	9	13	5	2	5	1	15	1	9	17	1	2	0	11	3	1	6	3	6	2	4	14	5	5	3	0	7	0	7	10	6	3	0	0	4	4	11	11	6	0	2	2	2	28	6	3	6	0	6	4	4	1	0	6	6	6	8	0	5	0	2	5	12	0	3	7	0	0	1	8	9	2	1	0	0	3	0	2	2	12	2	2	0	13	0	1	2	2	3	1	5	18	3	8	24	2	3	2	3	1	38	34	7	2	5	5	6	2	1	3	4	33	22	6	3	0	8	5	10	0	0	4	5	9	2	2	7	3	9	13	1
